"idVin","nomVin","paysVin","regionVin","nomDomaine","appellation","millesime","cepages","couleurVin","typeVin","clBout","degustation","recompenses","accordMetsVin","mainPhotoVin","codeRegion","codeDomaine","codeAppellation","ListeB1","ListeB2","","","","",""
"502","Château Peychaud - Bordeaux supérieur, cuvée spéciale","France","Bordeaux","Château Peychaud","Bordeaux Supérieur","2014","","VR","VT","75","","","","","Bord","Peychaud","BordSup","","","","","","",""
"503","Château Peychaud - Bordeaux ""Un air d'été""","France","Bordeaux","Château Peychaud","Bordeaux Supérieur","2017","","Vro","VT","75","","","","","Bord","Peychaud","BordSup","","","","","","",""
"504","Château Peychaud - Bordeaux ""Le Sec""","France","Bordeaux","Château Peychaud","Bordeaux Supérieur","2016","","VB","VT","75","","","","","Bord","Peychaud","BordSup","","","","","","",""
"551","Château Micalet - Haut Médoc","France","Bordeaux","Château Micalet","Haut-Médoc","2015","","VR","VT","75","","","","","Bord","Micalet","Haut-Médoc","","","","","","",""
"552","Château Micalet - Haut Médoc","France","Bordeaux","Château Micalet","Haut-Médoc","2016","","VR","VT","75","","","","","Bord","Micalet","Haut-Médoc","","","","","","",""
"601","Madiran Tradition Domaine","France","Sud-Ouest","Domaine du Moulié","Madiran","2015","","VR","VT","75","","","","","SudO","Moulie","Madiran","","","","","","",""
"602","Madiran Cuvée Chiffre","France","Sud-Ouest","Domaine du Moulié","Madiran","2015","","VR","VT","75","","","","","SudO","Moulie","Madiran","","","","","","",""
"603","Pacherenc du Vic Bilh, Cuvée L","France","Sud-Ouest","Domaine du Moulié","Pacherenc du Vic-Bilh","2015","","VB","VT","75","","","","","SudO","Moulie","Pacherenc","","","","","","",""
"604","Pacherenc du Vic Bilh Sec L'insolite","France","Sud-Ouest","Domaine du Moulié","Pacherenc du Vic-Bilh","2016","","VB","VT","75","","","","","SudO","Moulie","Pacherenc","","","","","","",""
"9999","","","","","","","","","","","","","","","","","","","","","","","",""
"146","Gypse YYYYYYY","France","Languedoc","Domaine Borie de Maurel","Minervois","2016","","VB","VT","75","","","","","Lang","Borie","Minervois","1","","","","","",""
"150","Minervois La Livinière La Féline - Magnum","France","Languedoc","Domaine Borie de Maurel","Minervois","2014","","VR","VT","150","","","","","Lang","Borie","Minervois","2","","","","","",""
"142","La Belle Aude","France","Languedoc","Domaine Borie de Maurel","Minervois","2016","","VB","VT","75","","","","","Lang","Borie","Minervois","3","","","","","",""
"154","Le Vin du sorcier","France","Languedoc","Domaine Borie de Maurel","Minervois","2017","","VR","VT","75","","","","","Lang","Borie","Minervois","4","x","","","","",""
"152","La Belle Aude","France","Languedoc","Domaine Borie de Maurel","Minervois","2017","","VB","VT","75","","","","","Lang","Borie","Minervois","5","","","","","",""
"158","Le Vin du sorcier","France","Languedoc","Domaine Borie de Maurel","Minervois","2018","","VR","VT","75","","","","","Lang","Borie","Minervois","6","x","","","","",""
"161","Minervois Esprit Automne","France","Languedoc","Domaine Borie de Maurel","Minervois","2018","","VR","VT","75","","","","","Lang","Borie","Minervois","7","","","","","",""
